jd,jd_norm,UTC
58204.1799421,0.0,2018-03-27 04:19:06.997
58362.5124421,158.3324999999968,2018-09-01 12:17:54.997
58365.4646759,161.28473379999923,2018-09-04 11:09:07.998
58368.5197454,164.33980329999758,2018-09-07 12:28:26.003
58371.5041667,167.3242245999936,2018-09-10 12:06:00.003
58374.4620139,170.28207180000027,2018-09-13 11:05:18.001
58377.5188889,173.33894679999503,2018-09-16 12:27:12.001
58397.4991551,193.31921299999522,2018-10-06 11:58:47.001
58425.3760069,221.19606479999493,2018-11-03 09:01:26.996
58427.3778472,223.1979050999944,2018-11-05 09:04:05.998
58428.3345949,224.15465279999626,2018-11-06 08:01:48.999
58430.3575926,226.17765049999434,2018-11-08 08:34:56.001
58431.4370139,227.2570717999988,2018-11-09 10:29:18.001
58434.3976736,230.21773149999353,2018-11-12 09:32:38.999
58437.4375116,233.25756949999777,2018-11-15 10:30:01.002
58438.4115046,234.23156249999738,2018-11-16 09:52:33.997
58439.4559954,235.27605329999642,2018-11-17 10:56:38.003
58440.3971412,236.21719909999956,2018-11-18 09:31:53.000
58443.3089005,239.12895839999692,2018-11-21 07:24:49.003
58443.3214815,239.1415393999996,2018-11-21 07:42:56.002
58450.3983796,246.2184374999997,2018-11-28 09:33:39.997
58462.353044,258.1731018999999,2018-12-10 08:28:23.002
58466.3099537,262.1300115999984,2018-12-14 07:26:20.000
58469.1756597,264.99571759999526,2018-12-17 04:12:56.998
58472.2475231,268.0675809999957,2018-12-20 05:56:25.996
58476.282338,272.102395899994,2018-12-24 06:46:34.003
58487.2250926,283.04515049999463,2019-01-04 05:24:08.001
58493.230544,289.05060189999494,2019-01-10 05:31:59.002
58503.231713,299.0517708999978,2019-01-20 05:33:40.003
58505.2244329,301.04449079999904,2019-01-22 05:23:11.003
58509.2274653,305.04752319999534,2019-01-26 05:27:33.002
58514.2067014,310.0267592999953,2019-01-31 04:57:39.001
58523.2476273,319.06768519999605,2019-02-09 05:56:34.999
58534.1699306,329.9899884999977,2019-02-20 04:04:42.004
58542.1333912,337.95344909999403,2019-02-28 03:12:05.000
58547.2345139,343.0545717999994,2019-03-05 05:37:42.001
58557.1502662,352.9703240999952,2019-03-15 03:36:23.000
58560.186794,356.00685189999786,2019-03-18 04:28:59.002
58573.1494329,368.9694907999947,2019-03-31 03:35:11.003
58582.1356366,377.9556945000004,2019-04-09 03:15:19.002
58716.5053588,512.3254166999977,2019-08-21 12:07:43.000
58722.4729398,518.2929976999949,2019-08-27 11:21:01.999
58725.4767245,521.2967823999934,2019-08-30 11:26:28.997
58730.4653588,526.2854166999969,2019-09-04 11:10:07.000
58733.4833796,529.3034374999988,2019-09-07 11:36:03.997
58736.4984606,532.3185184999966,2019-09-10 11:57:46.996
58739.5039468,535.3240046999999,2019-09-13 12:05:41.004
58744.5196759,540.3397337999995,2019-09-18 12:28:19.998
58747.5027546,543.322812499995,2019-09-21 12:03:57.997
58750.4422338,546.2622916999971,2019-09-24 10:36:49.000
58756.4423727,552.2624305999998,2019-09-30 10:37:01.001
58757.3839005,553.203958399994,2019-10-01 09:12:49.003
58763.4390394,559.2590972999969,2019-10-07 10:32:13.004
58766.4604167,562.2804745999965,2019-10-10 11:03:00.003
58767.4372222,563.2572800999988,2019-10-11 10:29:35.998
58768.4256366,564.245694499994,2019-10-12 10:12:55.002
58772.3373611,568.1574189999956,2019-10-16 08:05:47.999
58775.435706,571.2557638999933,2019-10-19 10:27:24.998
58778.5194907,574.3395485999936,2019-10-22 12:28:03.996
58779.4667245,575.2867823999986,2019-10-23 11:12:04.997
58788.4385995,584.2586573999943,2019-11-01 10:31:34.997
58791.315,587.1350578999991,2019-11-04 07:33:36.000
58794.2724884,590.0925462999949,2019-11-07 06:32:22.998
58799.5058796,595.325937499998,2019-11-12 12:08:27.997
58802.2529167,598.0729745999997,2019-11-15 06:04:12.003
58805.4862269,601.3062847999972,2019-11-18 11:40:10.004
58812.4122917,608.2323495999954,2019-11-25 09:53:42.003
58830.2270833,626.047141199997,2019-12-13 05:26:59.997
58831.1877199,627.0077777999977,2019-12-14 04:30:18.999
58831.3463079,627.1663657999961,2019-12-14 08:18:41.003
58851.1693866,646.9894444999954,2020-01-03 04:03:55.002
58855.1869792,651.0070370999965,2020-01-07 04:29:15.003
58860.1087616,655.9288194999972,2020-01-12 02:36:37.002
58863.1691088,658.9891666999974,2020-01-15 04:03:31.000
58867.2271875,663.0472453999973,2020-01-19 05:27:09.000
58871.2104745,667.0305324000001,2020-01-23 05:03:04.997
58876.1902546,672.010312499995,2020-01-28 04:33:57.997
58877.2075579,673.0276157999979,2020-01-29 04:58:53.003
58879.1650579,674.9851157999947,2020-01-31 03:57:41.003
58880.1439468,675.9640046999994,2020-02-01 03:27:17.004
58886.188669,682.0087268999996,2020-02-07 04:31:41.002
58890.2314236,686.0514814999988,2020-02-11 05:33:14.999
58893.1846991,689.0047569999952,2020-02-14 04:25:58.002
58896.1691782,691.9892360999947,2020-02-17 04:03:36.996
58899.1704398,694.9904976999969,2020-02-20 04:05:25.999
58903.1244792,698.9445370999965,2020-02-24 02:59:15.003
58904.1308333,699.9508911999947,2020-02-25 03:08:23.997
58914.1870255,710.0070833999998,2020-03-06 04:29:19.003
58917.1700694,712.9901272999996,2020-03-09 04:04:53.996
59092.4943634,888.3144212999978,2020-08-31 11:51:52.998
59095.4905903,891.3106482000003,2020-09-03 11:46:27.002
59104.5025926,900.3226504999984,2020-09-12 12:03:44.001
59105.487662,901.3077198999963,2020-09-13 11:42:13.997
59106.5012731,902.3213309999992,2020-09-14 12:01:49.996
59110.5208218,906.3408796999938,2020-09-18 12:29:59.004
59112.5194097,908.3394675999953,2020-09-20 12:27:56.998
59113.3981829,909.2182407999935,2020-09-21 09:33:23.003
59115.5032523,911.323310199994,2020-09-23 12:04:40.999
59118.4815509,914.3016087999931,2020-09-26 11:33:25.998
59121.4262616,917.2463194999946,2020-09-29 10:13:49.002
59123.4230324,919.2430902999986,2020-10-01 10:09:09.999
59125.4404398,921.2604976999937,2020-10-03 10:34:13.999
59129.438831,925.2588888999962,2020-10-07 10:31:54.998
59137.4600579,933.2801158000002,2020-10-15 11:02:29.003
59139.4220139,935.2420717999994,2020-10-17 10:07:42.001
59141.4244792,937.2445370999994,2020-10-19 10:11:15.003
59143.401331,939.2213888999977,2020-10-21 09:37:54.998
59145.4400694,941.2601272999964,2020-10-23 10:33:41.996
59150.4573148,946.2773726999949,2020-10-28 10:58:31.999
59152.3703472,948.1904050999947,2020-10-30 08:53:17.998
59155.3821296,951.2021874999991,2020-11-02 09:10:15.997
59156.4198032,952.2398610999953,2020-11-03 10:04:30.996
59158.478912,954.2989698999954,2020-11-05 11:29:37.997
59165.3791667,961.1992245999936,2020-11-12 09:06:00.003
59167.4119792,963.2320370999951,2020-11-14 09:53:15.003
59169.3611921,965.1812499999942,2020-11-16 08:40:06.997
59171.4042824,967.2243402999957,2020-11-18 09:42:09.999
59173.3352778,969.1553356999939,2020-11-20 08:02:48.002
59175.4195486,971.2396064999994,2020-11-22 10:04:08.999
59176.3786343,972.1986921999996,2020-11-23 09:05:14.004
59176.3795718,972.1996296999932,2020-11-23 09:06:35.004
59177.398206,973.2182638999948,2020-11-24 09:33:24.998
59178.400706,974.2207638999971,2020-11-25 09:37:00.998
59178.4016898,974.221747699994,2020-11-25 09:38:25.999
59179.4377431,975.2578009999997,2020-11-26 10:30:21.004
59180.4671644,976.287222299994,2020-11-27 11:12:43.004
59180.4681019,976.2881597999949,2020-11-27 11:14:04.004
59181.2544792,977.0745370999939,2020-11-28 06:06:27.003
59182.5098843,978.3299421999982,2020-11-29 12:14:14.004
59182.5108218,978.3308796999991,2020-11-29 12:15:35.004
59184.4370255,980.2570833999998,2020-12-01 10:29:19.003
59185.4010417,981.2210995999994,2020-12-02 09:37:30.003
59186.4289352,982.2489930999945,2020-12-03 10:17:40.001
59187.3475463,983.1676041999963,2020-12-04 08:20:28.000
59188.4106713,984.2307291999969,2020-12-05 09:51:22.000
59188.4115972,984.2316550999967,2020-12-05 09:52:41.998
59190.3469444,986.167002299997,2020-12-07 08:19:35.996
59190.347419,986.1674768999947,2020-12-07 08:20:17.002
59192.3279745,988.1480324000004,2020-12-09 07:52:16.997
59193.3523495,989.172407399994,2020-12-10 08:27:22.997
59193.353287,989.1733448999948,2020-12-10 08:28:43.997
59194.320162,990.1402199000004,2020-12-11 07:41:01.997
59195.357037,991.1770948999983,2020-12-12 08:34:07.997
59196.3519097,992.1719675999993,2020-12-13 08:26:44.998
59198.3399653,994.1600231999982,2020-12-15 08:09:33.002
59198.3409028,994.1609606999991,2020-12-15 08:10:54.002
59199.3375231,995.1575809999995,2020-12-16 08:06:01.996
59200.3117361,996.1317939999935,2020-12-17 07:28:53.999
59200.3126852,996.1327430999954,2020-12-17 07:30:16.001
59202.2998495,998.119907399996,2020-12-19 07:11:46.997
59203.3272222,999.1472800999982,2020-12-20 07:51:11.998
59203.3281597,999.148217599999,2020-12-20 07:52:32.998
59204.3287847,1000.1488425999996,2020-12-21 07:53:26.998
59205.3125926,1001.1326504999961,2020-12-22 07:30:08.001
59206.3386806,1002.1587384999948,2020-12-23 08:07:42.004
59207.3308218,1003.1508796999988,2020-12-24 07:56:23.004
59210.2343403,1006.0543981999945,2020-12-27 05:37:27.002
59215.1511574,1010.9712153,2021-01-01 03:37:39.999
59215.1941898,1011.0142476999972,2021-01-01 04:39:37.999
59216.2579745,1012.0780323999934,2021-01-02 06:11:28.997
59218.3465856,1014.1666434999934,2021-01-04 08:19:04.996
59220.2578472,1016.077905099999,2021-01-06 06:11:17.998
59221.2981134,1017.1181712999969,2021-01-07 07:09:16.998
59221.2990509,1017.1191087999978,2021-01-07 07:10:37.998
59222.2733102,1018.0933680999951,2021-01-08 06:33:34.001
59223.1704282,1018.9904860999959,2021-01-09 04:05:24.996
59223.1713657,1018.9914235999968,2021-01-09 04:06:45.996
59224.2026852,1020.0227430999948,2021-01-10 04:51:52.001
59225.2405208,1021.060578699995,2021-01-11 05:46:20.997
59225.2409838,1021.0610416999989,2021-01-11 05:47:01.000
59226.2996412,1022.1196990999961,2021-01-12 07:11:29.000
59227.2120486,1023.0321064999953,2021-01-13 05:05:20.999
59227.2129861,1023.0330439999962,2021-01-13 05:06:41.999
59228.306956,1024.127013899997,2021-01-14 07:22:00.998
59229.2112269,1025.0312847999958,2021-01-15 05:04:10.004
59229.2121644,1025.0322222999966,2021-01-15 05:05:31.004
59230.2969444,1026.117002299994,2021-01-16 07:07:35.996
59231.285787,1027.1058448999975,2021-01-17 06:51:31.997
59231.28625,1027.1063078999941,2021-01-17 06:52:12.000
59232.3677546,1028.1878125000003,2021-01-18 08:49:33.997
59233.2045023,1029.0245601999995,2021-01-19 04:54:28.999
59233.2054282,1029.0254860999994,2021-01-19 04:55:48.996
59249.1663889,1044.9864467999942,2021-02-04 03:59:36.001
59251.167037,1046.987094899996,2021-02-06 04:00:31.997
59253.1903125,1049.0103703999994,2021-02-08 04:34:03.000
59255.2010301,1051.021087999994,2021-02-10 04:49:29.001
59257.1865278,1053.0065856999936,2021-02-12 04:28:36.002
59260.1868403,1056.0068981999939,2021-02-15 04:29:03.002
59263.1655556,1058.9856134999936,2021-02-18 03:58:24.004
59265.1694792,1060.9895370999948,2021-02-20 04:04:03.003
59267.2135301,1063.0335879999984,2021-02-22 05:07:29.001
59269.1908218,1065.0108796999994,2021-02-24 04:34:47.004
59271.1906481,1067.0107059999937,2021-02-26 04:34:31.996
59273.1370255,1068.957083399997,2021-02-28 03:17:19.003
59275.1377546,1070.957812499997,2021-03-02 03:18:21.997
59278.1916782,1074.0117360999939,2021-03-05 04:36:00.996
59296.1734722,1091.9935300999932,2021-03-23 04:09:47.998
59301.1971528,1097.0172106999962,2021-03-28 04:43:54.002
59303.1991319,1099.0191897999975,2021-03-30 04:46:44.996
59460.4474074,1256.2674652999995,2021-09-03 10:44:15.999
59464.4664005,1260.286458399998,2021-09-07 11:11:37.003
59467.4627315,1263.2827894000002,2021-09-10 11:06:20.002
59470.4962384,1266.3162962999995,2021-09-13 11:54:34.998
59473.4840278,1269.3040856999942,2021-09-16 11:37:00.002
59475.4650347,1271.2850925999956,2021-09-18 11:09:38.998
59477.4643981,1273.284455999994,2021-09-20 11:08:43.996
59484.4210417,1280.2410995999962,2021-09-27 10:06:18.003
59487.4604514,1283.2805092999988,2021-09-30 11:03:03.001
59496.3948727,1292.2149305999992,2021-10-09 09:28:37.001
59498.4439815,1294.2640393999973,2021-10-11 10:39:20.002
59503.4625347,1299.2825925999932,2021-10-16 11:06:02.998
59509.3906481,1305.210705999998,2021-10-22 09:22:31.996
59517.4707755,1313.2908333999949,2021-10-30 11:17:55.003
59521.3378935,1317.1579513999968,2021-11-03 08:06:33.998
59523.3573032,1319.1773610999953,2021-11-05 08:34:30.996
59525.463669,1321.2837268999938,2021-11-07 11:07:41.002
59527.3198032,1323.1398610999968,2021-11-09 07:40:30.996
59530.4008333,1326.2208911999987,2021-11-12 09:37:11.997
59532.4022917,1328.2223495999933,2021-11-14 09:39:18.003
59537.4192477,1333.2393056,2021-11-19 10:03:43.001
59540.3975231,1336.2175809999972,2021-11-22 09:32:25.996
59623.2130093,1419.0330671999982,2022-02-13 05:06:44.004
59625.1903935,1421.0104513999977,2022-02-15 04:34:09.998
59636.1866667,1432.0067245999962,2022-02-26 04:28:48.003
59638.1506944,1433.970752299996,2022-02-28 03:36:59.996
59840.4688079,1636.2888657999938,2022-09-18 11:15:05.003
59840.4985764,1636.318634299998,2022-09-18 11:57:57.001
59843.4716319,1639.2916897999967,2022-09-21 11:19:08.996
59846.4867708,1642.3068286999987,2022-09-24 11:40:56.997
59848.4582292,1644.2782870999945,2022-09-26 10:59:51.003
59850.4686343,1646.2886921999961,2022-09-28 11:14:50.004
59853.4822106,1649.302268499996,2022-10-01 11:34:22.996
59855.4606829,1651.2807407999935,2022-10-03 11:03:23.003
59857.4607523,1653.280810199998,2022-10-05 11:03:28.999
59859.4622338,1655.282291699994,2022-10-07 11:05:37.000
59861.4639236,1657.283981499997,2022-10-09 11:08:02.999
59863.3953588,1659.2154166999971,2022-10-11 09:29:19.000
59872.3407176,1668.1607754999932,2022-10-20 08:10:38.001
59874.4585648,1670.278622699996,2022-10-22 11:00:19.999
59878.4201736,1674.2402315,2022-10-26 10:05:02.999
59882.4186574,1678.2387152999945,2022-10-30 10:02:51.999
59887.3753009,1683.195358799996,2022-11-04 09:00:25.998
59889.4005787,1685.2206365999955,2022-11-06 09:36:50.000
59897.4468634,1693.2669212999972,2022-11-14 10:43:28.998
59903.3594792,1699.179537099997,2022-11-20 08:37:39.003
59905.3806713,1701.200729199998,2022-11-22 09:08:10.000
59910.3812963,1706.2013541999986,2022-11-27 09:09:04.000
59922.3362269,1718.1562847999958,2022-12-09 08:04:10.004
59928.323206,1724.1432638999977,2022-12-15 07:45:24.998
59932.333206,1728.1532638999997,2022-12-19 07:59:48.998
59934.3213426,1730.141400499997,2022-12-21 07:42:44.001
59936.3161227,1732.1361805999986,2022-12-23 07:35:13.001
59940.2841782,1736.1042361,2022-12-27 06:49:12.996
59953.1276389,1748.9476967999944,2023-01-09 03:03:48.001
59958.2740394,1754.094097299996,2023-01-14 06:34:37.004
59966.2364468,1762.0565046999982,2023-01-22 05:40:29.004
59968.1812037,1764.001261599995,2023-01-24 04:20:56.000
59970.2562616,1766.0763194999963,2023-01-26 06:09:01.002
59972.2365162,1768.0565740999955,2023-01-28 05:40:35.000
59979.2370833,1775.057141199999,2023-02-04 05:41:23.997
59981.1240741,1776.944131999997,2023-02-06 02:58:40.002
59991.1916204,1787.0116782999976,2023-02-16 04:35:56.003
60013.2628356,1809.0828934999954,2023-03-10 06:18:28.996
60020.1478125,1815.9678703999962,2023-03-17 03:32:51.000
60030.160162,1825.9802198999969,2023-03-27 03:50:37.997
60191.4472454,1987.2673032999955,2023-09-04 10:44:02.003
60194.4450579,1990.2651157999935,2023-09-07 10:40:53.003
60196.4851736,1992.305231499995,2023-09-09 11:38:38.999
60200.495081,1996.3151388999977,2023-09-13 11:52:54.998
60202.4241088,1998.2441666999948,2023-09-15 10:10:43.000
60204.4953472,2000.3154050999947,2023-09-17 11:53:17.998
60206.490625,2002.3106828999953,2023-09-19 11:46:30.000
60212.4370023,2008.2570601999978,2023-09-25 10:29:16.999
60215.5056019,2011.3256597999934,2023-09-28 12:08:04.004
60221.4053588,2017.2254166999992,2023-10-04 09:43:43.000
60223.4070833,2019.2271411999973,2023-10-06 09:46:11.997
60225.4361806,2021.2562384999983,2023-10-08 10:28:06.004
60231.4453935,2027.265451399995,2023-10-14 10:41:21.998
60233.5033218,2029.3233796999994,2023-10-16 12:04:47.004
60235.4908333,2031.3108911999952,2023-10-18 11:46:47.997
60239.4626736,2035.2827314999959,2023-10-22 11:06:14.999
60244.3987963,2040.2188542000004,2023-10-27 09:34:16.000
60246.443287,2042.2633448999986,2023-10-29 10:38:19.997
